column_id,column_description
HRS2014Q1,HOUSEHOLD IDENTIFICATION NUMBER ... 18747 000003-959738. Household Identification Number
HRS2014Q2,RESPONDENT PERSON IDENTIFICATION NUMBER ... 10202 010. Person Identifier 714 011. Person Identifier 34 012. Person Identifier 6106 020. Person Identifier 208 021. Person Identifier 16 022. Person Identifier 1 023. Person Identifier 511 030. Person Identifier 45 031. Person Identifier 7 032. Person Identifier 2 033. Person Identifier 836 040. Person Identifier 57 041. Person Identifier 7 042. Person Identifier 1 043. Person Identifier
HRS2014Q3,2014 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 17037 0. Original sample household - no split from divorce or separation of spouses or partners 850 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 669 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 64 5. Split household - one half of couple from Q3 1 or 2 8 6. Split household - one half of couple from Q3 1 or 2 118 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2014Q4,2012 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 17309 0. Original sample household - no split from divorce or separation of spouses or partners 707 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 578 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 57 5. Split household - one half of couple from Q3 1 or 2 7 6. Split household - one half of couple from Q3 1 or 2 88 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2014Q5,2014 SPOUSE/PARTNER PERSON NUMBER ... 5159 010. Person Identifier 525 011. Person Identifier 24 012. Person Identifier 4656 020. Person Identifier 174 021. Person Identifier 11 022. Person Identifier 1 023. Person Identifier 323 030. Person Identifier 27 031. Person Identifier 4 032. Person Identifier 2 033. Person Identifier 558 040. Person Identifier 40 041. Person Identifier 4 042. Person Identifier 1 043. Person Identifier 31 811. Spouse of Non-Original Respondent 2 812. Spouse of Non-Original Respondent 2 820. Spouse of Non-Original Respondent 9 821. Spouse of Non-Original Respondent 1 822. Spouse of Non-Original Respondent 3 831. Spouse of Non-Original Respondent 1 832. Spouse of Non-Original Respondent 4 841. Spouse of Non-Original Respondent 1 842. Spouse of Non-Original Respondent 7184 Blank. Single Respondent Household
HRS2014Q6,2014 WHETHER COVERSHEET RESPONDENT ... 13238 1. Yes 32 3. 2nd Coverscreen R\, answers not retained 5477 5. No
HRS2014Q7,2014 WHETHER FAMILY RESPONDENT ... 13073 1. Family R 23 3. 2nd Family R\, answers not retained 5651 5. Non-Family R
HRS2014Q8,2014 WHETHER FINANCIAL RESPONDENT ... 13098 1. Financial R 24 3. 2nd Financial R\, answers not retained 5625 5. Non-Financial R
HRS2014Q9,Ref: SecJ.Q9_3Wave * ... 18747 2. Not asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2014Q10,Ref: SecJ.Q10_4Wave * ... 18747 3. Not asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2014Q140,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.Q137[4] How did it change? IWER: Choose all that apply ... 1. SUPERVISOR ENCOURAGED DEPARTURE 2. COWORKER ENCOURAGED DEPARTURE 3. WAGES REDUCED (OR ABOUT TO BE REDUCED) 4. HOURS REDUCED (OR ABOUT TO BE REDUCED) 5. WOULD HAVE BEEN LAID OFF; funding ended 6. NEW JOB DUTIES; work load increased 7. NEW JOB LOCATION 8. BECAME ELIGIBLE FOR PENSION/social security 9. EMPLOYER CHANGED HEALTH INSURANCE 10. SPECIAL EARLY RETIREMENT INCENTIVE OFFER 21. Scheduling problems; change in work schedule (excluding 04); hours increased 22. Other working conditions; didn't get along with supervisor/coworkers; not enough help; business had changed; unsafe working conditions; physical demands of job; company having financial problems; more pressure on the job; new management/philosophy/policies; not enough money; harassment 23. Better job/pay; more hours/benefits; better working conditions; old job lack of pay raises/benefits 24. Start or help with own/family business 31. Physical and mental condition of R (including stress) 95. Job ended; seasonal work; temporary job; position eliminated; business closed/moved or sold 97. OTHER (SPECIFY) 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18747 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q141,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.Q141_ If your employer had allowed you to work fewer hours with correspondingly less pay\, would you have continued working there? ... 236 1. YES 1044 5. NO 30 8. DK (Don't Know); NA (Not Ascertained) 6 9. RF (Refused) 17431 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q142,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.Q142_ [Did your employer experience a permanent reduction in employment between [[Current Month][Year -- two years ago]/[Prev Wave IW Month] [Prev Wave IW Year]] and the time you were leaving?] IWER: Permanent employment reductions are sometimes called 'downsizing'; 'layoffs' can be permanent or temporary. ... 428 1. YES 1151 5. NO 57 8. DK (Don't Know); NA (Not Ascertained) 6 9. RF (Refused) 17105 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q143,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.Q143_ [Were there any months between [Prev Wave IW Month][Prev Wave IW Year] and [[Month\, Year] [[Stopped Working For [Employer/Self]]/Retired]] when you did not work [for [Last IW Employer Name]/at this business/for this employer]]? ... 239 1. YES 1470 5. NO 18 8. DK (Don't Know); NA (Not Ascertained) 3 9. RF (Refused) 17017 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q144,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[1].W776_Year * ... 203 2013. Actual Value 18544 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q145,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[1].W777_ Were there any months in [Eligible Year] [when you did not work [at this business/for this employer]]? ... 151 1. YES 39 5. NO 8. DK (Don't Know); NA (Not Ascertained) 1 9. RF (Refused) 18556 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q146,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[1].W778_WhichMonths[1] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 56 1. JAN 9 2. FEB 9 3. MAR 13 4. APR 7 5. MAY 14 6. JUN 10 7. JUL 7 8. AUG 2 9. SEP 4 10. OCT 10 11. NOV 2 12. DEC 20 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18584 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q147,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[1].W778_WhichMonths[2] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1 1. JAN 34 2. FEB 8 3. MAR 8 4. APR 7 5. MAY 3 6. JUN 14 7. JUL 9 8. AUG 3 9. SEP 2 10. OCT 3 11. NOV 7 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18648 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q148,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[1].W778_WhichMonths[3] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 2 1. JAN 1 2. FEB 25 3. MAR 6 4. APR 5 5. MAY 5 6. JUN 2 7. JUL 11 8. AUG 3 9. SEP 2 10. OCT 11. NOV 2 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18683 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q149,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[1].W778_WhichMonths[4] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2 2. FEB 3. MAR 19 4. APR 6 5. MAY 3 6. JUN 5 7. JUL 2 8. AUG 4 9. SEP 2 10. OCT 2 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18702 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q150,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[1].W778_WhichMonths[5] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 15 5. MAY 5 6. JUN 1 7. JUL 2 8. AUG 2 9. SEP 2 10. OCT 1 11. NOV 1 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18718 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q151,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[1].W778_WhichMonths[6] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 11 6. JUN 3 7. JUL 1 8. AUG 1 9. SEP 1 10. OCT 1 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18729 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q152,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[1].W778_WhichMonths[7] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 11 7. JUL 2 8. AUG 1 9. SEP 1 10. OCT 1 11. NOV 1 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18730 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q153,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[1].W778_WhichMonths[8] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 7 8. AUG 3 9. SEP 10. OCT 1 11. NOV 1 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18735 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q154,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[1].W778_WhichMonths[9] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 6 9. SEP 3 10. OCT 11. NOV 1 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18737 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q155,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[1].W778_WhichMonths[10] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 5 10. OCT 2 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18740 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q156,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[1].W778_WhichMonths[11] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 3 11. NOV 1 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18743 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q157,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[1].W778_WhichMonths[12] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 3 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18744 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q158,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[2].W776_Year * ... 209 2012. Actual Value 18538 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q159,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[2].W777_ Were there any months in [Eligible Year] [when you did not work [at this business/for this employer]]? ... 97 1. YES 85 5. NO 3 8. DK (Don't Know); NA (Not Ascertained) 1 9. RF (Refused) 18561 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q160,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[2].W778_WhichMonths[1] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 2 1. JAN 2. FEB 3. MAR 4. APR 7 5. MAY 15 6. JUN 19 7. JUL 6 8. AUG 8 9. SEP 4 10. OCT 14 11. NOV 18 12. DEC 25 98. DK (Don't Know); NA (Not Ascertained) 2 99. RF (Refused) 18627 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q161,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[2].W778_WhichMonths[2] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2 2. FEB 3. MAR 4. APR 5. MAY 5 6. JUN 15 7. JUL 13 8. AUG 3 9. SEP 5 10. OCT 3 11. NOV 12 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18689 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q162,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[2].W778_WhichMonths[3] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 1 3. MAR 4. APR 5. MAY 6. JUN 4 7. JUL 13 8. AUG 8 9. SEP 2 10. OCT 3 11. NOV 3 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18713 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q163,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[2].W778_WhichMonths[4] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 1 4. APR 5. MAY 6. JUN 7. JUL 4 8. AUG 6 9. SEP 3 10. OCT 2 11. NOV 3 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18728 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q164,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[2].W778_WhichMonths[5] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 1 5. MAY 6. JUN 7. JUL 8. AUG 4 9. SEP 4 10. OCT 2 11. NOV 2 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18734 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q165,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[2].W778_WhichMonths[6] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 1 6. JUN 7. JUL 8. AUG 9. SEP 4 10. OCT 3 11. NOV 2 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18737 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q166,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[2].W778_WhichMonths[7] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 1 7. JUL 8. AUG 9. SEP 10. OCT 4 11. NOV 3 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18739 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q167,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[2].W778_WhichMonths[8] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 1 8. AUG 9. SEP 10. OCT 11. NOV 2 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18744 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q168,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[2].W778_WhichMonths[9] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 1 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18746 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q169,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[2].W778_WhichMonths[10] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18747 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q170,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[3].W776_Year * ... 10 2011. Actual Value 18737 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q171,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[3].W777_ Were there any months in [Eligible Year] [when you did not work [at this business/for this employer]]? ... 5 1. YES 4 5. NO 1 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 18737 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q172,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[3].W778_WhichMonths[1] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 1 2. FEB 3. MAR 4. APR 5. MAY 2 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 1 11. NOV 12. DEC 1 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18742 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q173,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[3].W778_WhichMonths[2] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 1 3. MAR 4. APR 5. MAY 6. JUN 2 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18744 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q174,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[3].W778_WhichMonths[3] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 1 4. APR 5. MAY 6. JUN 7. JUL 2 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18744 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q175,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[3].W778_WhichMonths[4] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 1 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18746 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q176,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[3].W778_WhichMonths[5] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 1 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18746 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q177,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[3].W778_WhichMonths[6] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 1 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18746 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q178,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[3].W778_WhichMonths[7] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 1 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18746 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q179,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[3].W778_WhichMonths[8] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18747 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q180,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[4].W776_Year * ... 10 2010. Actual Value 18737 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q181,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[4].W777_ Were there any months in [Eligible Year] [when you did not work [at this business/for this employer]]? ... 4 1. YES 4 5. NO 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 18739 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q182,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWSELFCONTD.J081M.W779_MonthsPerYear[4].W778_WhichMonths[1] Which months in [Eligible Year] were those ([when you did not work [at this business/for this employer]])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 1 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 2 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 1 11. NOV 12. DEC 2 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18741 Blank. INAP (Inapplicable); Partial Interview
