column_id,column_description
HRS2018Q1,HOUSEHOLD IDENTIFICATION NUMBER ... 17146 010003-959738. Household Identification Number
HRS2018Q2,RESPONDENT PERSON IDENTIFICATION NUMBER ... 9738 010. Person Identifier 654 011. Person Identifier 32 012. Person Identifier 1 013. Person Identifier 5480 020. Person Identifier 180 021. Person Identifier 21 022. Person Identifier 1 023. Person Identifier 353 030. Person Identifier 44 031. Person Identifier 3 032. Person Identifier 1 033. Person Identifier 586 040. Person Identifier 47 041. Person Identifier 4 042. Person Identifier 1 043. Person Identifier
HRS2018Q3,2018 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 15501 0. Original sample household - no split from divorce or separation of spouses or partners 849 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 596 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 68 5. Split household - one half of couple from Q3 1 or 2 9 6. Split household - one half of couple from Q3 1 or 2 122 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2018Q4,2016 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 15713 0. Original sample household - no split from divorce or separation of spouses or partners 726 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 546 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 54 5. Split household - one half of couple from Q3 1 or 2 7 6. Split household - one half of couple from Q3 1 or 2 99 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2018Q5,2018 SPOUSE/PARTNER PERSON NUMBER ... 4657 010. Person Identifier 504 011. Person Identifier 28 012. Person Identifier 1 013. Person Identifier 4290 020. Person Identifier 141 021. Person Identifier 18 022. Person Identifier 1 023. Person Identifier 193 030. Person Identifier 27 031. Person Identifier 1 032. Person Identifier 1 033. Person Identifier 362 040. Person Identifier 40 041. Person Identifier 2 042. Person Identifier 2 043. Person Identifier 7 810. Spouse of Original R\, Never Entered Sample 45 811. Spouse of Non-Original Respondent 3 812. Spouse of Non-Original Respondent 6 821. Spouse of Non-Original Respondent 1 822. Spouse of Non-Original Respondent 4 831. Spouse of Non-Original Respondent 1 832. Spouse of Non-Original Respondent 3 841. Spouse of Non-Original Respondent 6808 Blank. Single Respondent Household
HRS2018Q6,2018 WHETHER COVERSHEET RESPONDENT ... 12465 1. Yes 85 3. 2nd Coverscreen R\, answers not retained 4596 5. No
HRS2018Q7,2018 WHETHER FAMILY RESPONDENT ... 12017 1. Family R 41 3. 2nd Family R\, answers not retained 5088 5. Non-Family R
HRS2018Q8,2018 WHETHER FINANCIAL RESPONDENT ... 12181 1. Financial R 38 3. 2nd Financial R\, answers not retained 4927 5. Non-Financial R
HRS2018Q9,Ref: SecJ.Q9_3Wave * ... 17146 1. Not asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2018Q10,Ref: SecJ.Q10_4Wave * ... 17146 1. Not asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2018Q109,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1 1. JAN 74 2. FEB 11 3. MAR 17 4. APR 6 5. MAY 17 6. JUN 35 7. JUL 16 8. AUG 8 9. SEP 2 10. OCT 1 11. NOV 1 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 16957 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q110,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1 1. JAN 2 2. FEB 61 3. MAR 9 4. APR 10 5. MAY 8 6. JUN 7 7. JUL 24 8. AUG 2 9. SEP 2 10. OCT 1 11. NOV 2 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17017 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q111,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 1 3. MAR 42 4. APR 6 5. MAY 6 6. JUN 6 7. JUL 2 8. AUG 4 9. SEP 3 10. OCT 2 11. NOV 1 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17073 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q112,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 31 5. MAY 3 6. JUN 2 7. JUL 3 8. AUG 2 9. SEP 1 10. OCT 3 11. NOV 1 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17100 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q113,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 18 6. JUN 2 7. JUL 1 8. AUG 2 9. SEP 1 10. OCT 11. NOV 2 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17120 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q114,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 1 6. JUN 14 7. JUL 8. AUG 1 9. SEP 10. OCT 2 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17128 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q115,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 7 8. AUG 9. SEP 1 10. OCT 1 11. NOV 1 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17136 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q116,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 5 9. SEP 1 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17140 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q117,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 1 9. SEP 2 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17143 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q118,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 1 8. AUG 9. SEP 10. OCT 1 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17144 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q119,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[2].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 1 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17145 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q120,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[3].W776_Year * ... 364 2017. Actual Value 16782 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q121,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[3].W777_ Were there any months in [Eligible Year] when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer]? ... 246 1. YES 117 5. NO 1 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 16782 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q122,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[3].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1 -8. Web non-response 58 1. JAN 9 2. FEB 10 3. MAR 6 4. APR 11 5. MAY 54 6. JUN 25 7. JUL 15 8. AUG 12 9. SEP 9 10. OCT 11 11. NOV 15 12. DEC 9 98. DK (Don't Know); NA (Not Ascertained) 1 99. RF (Refused) 16900 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q123,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[3].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 3 1. JAN 50 2. FEB 9 3. MAR 8 4. APR 9 5. MAY 11 6. JUN 53 7. JUL 23 8. AUG 7 9. SEP 9 10. OCT 5 11. NOV 6 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 16953 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q124,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[3].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2 2. FEB 44 3. MAR 6 4. APR 7 5. MAY 8 6. JUN 10 7. JUL 35 8. AUG 5 9. SEP 6 10. OCT 6 11. NOV 5 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17012 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q125,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[3].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1 1. JAN 2. FEB 2 3. MAR 31 4. APR 7 5. MAY 8 6. JUN 6 7. JUL 4 8. AUG 9 9. SEP 5 10. OCT 11 11. NOV 7 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17055 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q126,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[3].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1 1. JAN 2 2. FEB 1 3. MAR 2 4. APR 25 5. MAY 3 6. JUN 8 7. JUL 4 8. AUG 5 9. SEP 3 10. OCT 5 11. NOV 11 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17076 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q127,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[3].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 1 2. FEB 3. MAR 3 4. APR 2 5. MAY 17 6. JUN 2 7. JUL 9 8. AUG 6 9. SEP 5 10. OCT 5 11. NOV 5 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17091 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q128,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[3].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 1 3. MAR 4. APR 1 5. MAY 2 6. JUN 16 7. JUL 2 8. AUG 5 9. SEP 6 10. OCT 4 11. NOV 4 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17105 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q129,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[3].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 2 7. JUL 16 8. AUG 4 9. SEP 4 10. OCT 4 11. NOV 4 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17112 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q130,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[3].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 2 8. AUG 14 9. SEP 1 10. OCT 3 11. NOV 4 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17122 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q131,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[3].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 14 10. OCT 1 11. NOV 3 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17128 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q132,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[3].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 13 11. NOV 2 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17131 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q133,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[3].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17134 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q134,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[4].W776_Year * ... 285 2016. Actual Value 16861 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q135,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[4].W777_ Were there any months in [Eligible Year] when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer]? ... 1 -8. Web non-response 140 1. YES 135 5. NO 9 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 16861 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q136,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[4].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 4 -8. Web non-response 1 1. JAN 2. FEB 1 3. MAR 4 4. APR 6 5. MAY 17 6. JUN 15 7. JUL 23 8. AUG 11 9. SEP 10 10. OCT 13 11. NOV 16 12. DEC 17 98. DK (Don't Know); NA (Not Ascertained) 2 99. RF (Refused) 17006 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q137,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[4].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 1 4. APR 4 5. MAY 4 6. JUN 17 7. JUL 11 8. AUG 9 9. SEP 9 10. OCT 11 11. NOV 12 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17068 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q138,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[4].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 3 6. JUN 3 7. JUL 10 8. AUG 4 9. SEP 9 10. OCT 10 11. NOV 9 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17098 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q139,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[4].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 3 7. JUL 2 8. AUG 4 9. SEP 3 10. OCT 6 11. NOV 8 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17120 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q140,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[4].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 2 8. AUG 2 9. SEP 3 10. OCT 3 11. NOV 5 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17131 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q141,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[4].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 2 9. SEP 2 10. OCT 2 11. NOV 4 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17136 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q142,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[4].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 2 10. OCT 2 11. NOV 2 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17140 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q143,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[4].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 2 11. NOV 2 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17142 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q144,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[4].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 2 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17144 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q145,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W779_MonthsPerYear[4].W778_WhichMonths Which months in [Eligible Year] were those (when you did not work for [[Current Employer - Name]/[Prev Wave IW Employer Name]/that employer])? INSTR: Select all that apply ... 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17146 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q146,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.J056M.W786_ Were there any months between [R's Last IW Month\, Year/Month\, Year 2 Years Ago] and January [First Year of Previous Wave] when you did not work for [[Prev Wave IW Employer Name][Current Employer - Name]/that employer])? ... 1 1. YES 3 5. NO 1 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 17141 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q147,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.Q147_SameJobTitle [In [Prev IW Month][Prev IW Year] our records indicate that your job title was [Prev Wave Job Title]. Is this still the case? / Is your job title still the same as it was in [Prev IW Month][Prev IW Year]?] [INSTR: If job title is slightly inaccurate but describes R's current job\, answer 'yes' here and note corrections as a comment] WEB-ADMINISTERED TEXT: [In [Prev IW Month][Prev IW Year] our records indicate that your job title was [Prev Wave Job Title]. Is this still the case? / Is your job title still the same as it was in [Prev IW Month][Prev IW Year]?] [INSTR: If job title is slightly inaccurate but describes your current job\, please select 'yes' and note corrections in the comment box] ... 1 -8. Web non-response 3869 1. YES 15 3. RETIRED & WORKING FOR SAME EMPLOYER OR BUSINESS 302 5. NO 5 7. [DENY HAVING THIS JOB TITLE AT PREVIOUS WAVE INTERVIEW/I DID NOT HAVE THIS JOB TITLE AT THAT TIME] 1 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 12953 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q148,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.Q148_ What sort of work did you do? INSTR: PROBE: Tell me a little more about what you did. WEB-ADMINISTERED TEXT: What sort of work did you do? (Please tell us a little more about what you did.) ... 1. Management Occupations (0010 - 0430) 1 2. Business and Financial Operations Occupations (0500 - 0950) 3. Computer and mathematical occupations (1000 - 1240) 4. Architecture and Engineering Occupations (1300 - 1560) 5. Life\, Physical\, and Social Science Occupations (1600 - 1960) 6. Community and Social Service Occupations (2000 - 2060) 7. Legal Occupations (2100 - 2160) 8. Education\, Training\, and Library Occupations (2200 - 2550) 9. Arts\, Design\, Entertainment\, Sports\, and Media Occupations (2600 - 2960) 10. Healthcare Practitioners and Technical Occupations (3000 - 3540) 11. Healthcare Support Occupations (3600 - 3650) 12. Protective Service Occupations (3700 - 3950) 13. Food Preparation and Serving Related Occupations (4000 - 4160) 14. Building and Grounds Cleaning and Maintenance Occupations (4200 - 4250) 15. Personal Care and Service Occupations (4300 - 4650) 16. Sales and Related Occupations (4700 - 4960) 3 17. Office and Administrative Support Occupations (5000 - 5940) 18. Farming\, Fishing\, and Forestry Occupations (6000 - 6130) 19. Construction and Extraction Occupations (6200 - 6940) 20. Installation\, Maintenance\, and Repair Occupations (7000 - 7630) 1 21. Production Occupations (7700 - 8960) 22. Transportation and Material Moving Occupations (9000 - 9750) 23. Military Specific Occupations (9800 - 9830) 99. Not Ascertained (DK/RF) 17141 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q149,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.Q149_ What sort of work do you do now? INSTR: PROBE: Tell me a little more about what you do. WEB-ADMINISTERED TEXT: What sort of work do you do now? (Please tell us a little more about what you do now.) ... 1. Management Occupations (0010 - 0430) 1 2. Business and Financial Operations Occupations (0500 - 0950) 3. Computer and mathematical occupations (1000 - 1240) 4. Architecture and Engineering Occupations (1300 - 1560) 5. Life\, Physical\, and Social Science Occupations (1600 - 1960) 6. Community and Social Service Occupations (2000 - 2060) 7. Legal Occupations (2100 - 2160) 8. Education\, Training\, and Library Occupations (2200 - 2550) 9. Arts\, Design\, Entertainment\, Sports\, and Media Occupations (2600 - 2960) 10. Healthcare Practitioners and Technical Occupations (3000 - 3540) 11. Healthcare Support Occupations (3600 - 3650) 12. Protective Service Occupations (3700 - 3950) 13. Food Preparation and Serving Related Occupations (4000 - 4160) 14. Building and Grounds Cleaning and Maintenance Occupations (4200 - 4250) 15. Personal Care and Service Occupations (4300 - 4650) 16. Sales and Related Occupations (4700 - 4960) 3 17. Office and Administrative Support Occupations (5000 - 5940) 18. Farming\, Fishing\, and Forestry Occupations (6000 - 6130) 19. Construction and Extraction Occupations (6200 - 6940) 20. Installation\, Maintenance\, and Repair Occupations (7000 - 7630) 1 21. Production Occupations (7700 - 8960) 22. Transportation and Material Moving Occupations (9000 - 9750) 23. Military Specific Occupations (9800 - 9830) 99. Not Ascertained (DK/RF) 17141 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q150,Ref: SecJ.PREVIOUSJOBANDPENSION.PWELSENOWELSE.Q150Q147BP_TOJ167BP * ... 20 0. PREV WAVE JOB TITLE NOT PRELOADED 4172 2. PREV WAVE JOB TITLE PRELOADED 12954 Blank. INAP (Inapplicable); Partial Interview
